cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
6	ENSG00000092531.8	0.468095569327465	7.34857328311426e-18	1.37829840498091e-13	0.724	0.35
6	ENSG00000172757.11	0.319562370714886	7.64119291654815e-18	1.43318214342777e-13	1	0.998
6	ENSG00000034510.5	0.278827256141874	7.69732144267621e-18	1.44370960978835e-13	1	1
6	ENSG00000178741.10	0.434405458922057	8.31022598288424e-18	1.55866598534977e-13	0.92	0.615
6	ENSG00000172939.7	0.274900292524804	1.06495941192845e-17	1.99743787301301e-13	0.471	0.138
6	ENSG00000130303.11	0.46435096079165	1.13270536075462e-17	2.12450217463137e-13	0.954	0.608
6	ENSG00000140836.13	0.280391998978091	1.1659267810084e-17	2.18681227045935e-13	0.437	0.12
6	ENSG00000125810.9	0.292137996277387	1.17121822217386e-17	2.19673689750929e-13	0.575	0.176
6	ENSG00000118855.17	0.318053353614402	1.3324819416086e-17	2.49920312968108e-13	0.598	0.207
6	ENSG00000111237.17	0.472107076712703	1.45846657424116e-17	2.73549990664671e-13	0.851	0.52
6	ENSG00000177697.16	0.279024009708666	1.87343494466142e-17	3.51381458220695e-13	0.494	0.149
6	ENSG00000091436.15	0.260737011789286	2.03909428353491e-17	3.82452523819809e-13	0.471	0.135
6	ENSG00000069329.14	0.446219896679396	2.05570430293422e-17	3.85567899058341e-13	0.77	0.375
6	ENSG00000120008.14	0.312817470804336	2.37663072096456e-17	4.45760858024113e-13	0.552	0.185
6	ENSG00000124831.17	0.499820872845548	2.50106673399961e-17	4.69100076628966e-13	0.989	0.8
6	ENSG00000257923.8	0.478543957057639	2.74416199123096e-17	5.14695023075279e-13	0.632	0.261
6	ENSG00000121064.11	0.405090824254143	2.80690124121435e-17	5.26462396802164e-13	0.747	0.306
6	ENSG00000169442.7	0.41782446942474	3.02913355617086e-17	5.68144289795406e-13	1	0.983
6	ENSG00000175567.7	0.520896546129153	3.16589258501674e-17	5.93794813245739e-13	0.989	0.82
6	ENSG00000010610.8	0.480852782891445	3.49710446005098e-17	6.55916912527162e-13	0.793	0.426
6	ENSG00000164975.14	0.314587916457462	3.50380110405519e-17	6.57172935076591e-13	0.414	0.116
6	ENSG00000196839.11	0.357251208349364	3.53875762745504e-17	6.63729380605468e-13	0.494	0.162
6	ENSG00000060971.16	0.41693750163111	5.27412141126525e-17	9.8921421189691e-13	0.77	0.391
6	ENSG00000109046.13	0.572013246003698	7.13677366268551e-17	1.33857326817329e-12	0.966	0.767
6	ENSG00000120594.15	0.312723336914498	7.29389611933905e-17	1.36804315614323e-12	0.552	0.177
6	ENSG00000067836.11	0.346384497657015	7.30130745319512e-17	1.36943322592128e-12	0.575	0.202
6	ENSG00000221869.4	0.323467573441276	8.63270226089931e-17	1.61914963605427e-12	0.759	0.269
6	ENSG00000140575.11	0.446141865408325	8.77425611916515e-17	1.64569947771062e-12	0.966	0.62
6	ENSG00000139679.14	0.415156184033246	8.95442647883085e-17	1.67949223036951e-12	0.644	0.263
6	ENSG00000171298.11	0.332233013494356	9.23789985002509e-17	1.73266049587071e-12	0.54	0.185
6	ENSG00000114450.8	0.267551608546429	1.00482933156881e-16	1.88465789429046e-12	0.425	0.119
6	ENSG00000126522.15	0.285882747158508	1.36490739774873e-16	2.56002031521751e-12	0.448	0.133
6	ENSG00000187446.10	0.34173871126354	1.46444614388294e-16	2.74671518746684e-12	0.655	0.255
6	ENSG00000138964.15	0.418476082742917	1.61197119116908e-16	3.02341316615673e-12	0.736	0.354
6	ENSG00000177731.14	0.367500449934426	1.6140707961586e-16	3.02735118527507e-12	0.701	0.317
6	ENSG00000105355.7	0.382751014706312	1.86006030767378e-16	3.48872911307295e-12	0.644	0.267
6	ENSG00000279166.1	0.266574978224006	2.19173218954043e-16	4.11081289470203e-12	0.368	0.095
6	ENSG00000146425.9	0.391058632454186	2.71344187098418e-16	5.08933157321792e-12	0.816	0.403
6	ENSG00000115355.14	0.353485623391448	2.84880863986233e-16	5.34322548492579e-12	0.632	0.228
6	ENSG00000082996.18	0.391679520974765	3.38944440273729e-16	6.35724192177405e-12	0.736	0.337
6	ENSG00000163602.9	0.335243422432273	4.10052430291279e-16	7.69094338254323e-12	0.529	0.187
6	ENSG00000089006.15	0.388089564581477	4.15018150616487e-16	7.78408043296283e-12	0.701	0.328
6	ENSG00000184640.16	0.415273893408934	4.3757623007153e-16	8.20717977122162e-12	0.977	0.777
6	ENSG00000158825.5	0.30534131802604	4.69829127773026e-16	8.81211512051087e-12	0.529	0.165
6	ENSG00000163694.13	0.321109428275693	5.05605000211314e-16	9.4831273839634e-12	0.506	0.162
6	ENSG00000128245.13	0.465305967718718	5.40957247127897e-16	1.01461941271308e-11	0.713	0.34
6	ENSG00000171643.12	0.281891395185822	5.55896059197934e-16	1.04263864863164e-11	0.333	0.081
6	ENSG00000143153.11	0.251239299623044	5.70861047315697e-16	1.07070698034532e-11	0.299	0.068
6	ENSG00000118939.16	0.290371189330899	6.16936281056544e-16	1.15712568874965e-11	0.552	0.196
6	ENSG00000043462.10	0.402219393002527	6.92199610481918e-16	1.29828958941988e-11	0.839	0.471
6	ENSG00000187840.4	0.27995208402122	7.28638896338322e-16	1.36663511397216e-11	0.575	0.2
6	ENSG00000153786.11	0.343338089144027	7.64688365471014e-16	1.43424949827743e-11	0.609	0.237
6	ENSG00000105953.13	0.314614954811369	9.42684229581176e-16	1.76809854100245e-11	0.517	0.181
6	ENSG00000170581.12	0.455610651145326	9.62350763694418e-16	1.80498509238525e-11	0.655	0.296
6	ENSG00000121281.11	0.416989365114907	1.014921325026e-15	1.90358643721877e-11	0.655	0.299
6	ENSG00000110880.9	0.278689840950335	1.048527413924e-15	1.96661801755586e-11	0.471	0.149
6	ENSG00000079950.12	0.356747805010915	1.05133647347348e-15	1.97188668964686e-11	0.701	0.304
6	ENSG00000100387.8	0.413297792864688	1.12785432497629e-15	2.11540357192554e-11	0.954	0.638
6	ENSG00000065882.14	0.322476538275697	1.21038156944467e-15	2.27019167165043e-11	0.621	0.249
6	ENSG00000138185.15	0.447519510517145	1.30866569023935e-15	2.45453336861292e-11	0.517	0.183
